date,nav,scheme_code,scheme_name,fund_house
2026-06-19,202.0761,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-18,200.9565,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-17,199.8302,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-16,198.6152,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-15,198.032,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-12,196.5577,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-11,192.6722,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-10,193.4371,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-09,194.3813,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-08,191.9092,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-05,194.7547,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-04,194.522,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-03,194.081,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-02,193.1295,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-06-01,192.3195,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-31,193.6836,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-29,193.6848,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-27,195.0501,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-26,194.2258,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-25,193.5599,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-22,192.1227,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-21,191.7575,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-20,189.8661,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-19,189.5553,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-18,187.9126,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-15,190.2405,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-14,189.9345,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-13,190.464,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-12,190.6152,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-11,195.586,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-08,196.8821,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-07,197.4753,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-06,196.0036,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-05,194.5618,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-05-04,195.4469,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-30,193.4131,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-29,194.1523,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-28,193.4843,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-27,193.8317,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-24,191.0425,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-23,193.0317,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-22,194.1928,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-21,192.6397,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-20,191.0583,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-17,190.5242,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-16,188.3316,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-15,187.2786,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-13,184.3491,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-10,184.6967,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-09,181.2455,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-08,180.5783,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-07,174.8342,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-06,174.9151,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-02,173.8471,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-04-01,173.782,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-31,169.3706,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-30,169.3708,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-27,172.4739,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-25,175.4211,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-24,172.0049,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-23,169.1091,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-20,174.6205,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-19,173.9004,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-18,177.4908,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-17,174.0628,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-16,173.8198,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-13,173.9754,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-12,177.9888,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-11,178.3891,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-10,178.8419,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-09,175.7742,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-06,178.9784,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-05,179.3239,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-04,177.9961,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-03-02,181.3175,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2026-02-28,184.7579,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
